customer_id,product_id,rating
u_608f9ad0,339489,5
u_5879ab23,339489,1
u_4a64af46,339489,4
u_d3a35bdf,302671,5
u_d74118f2,302671,4
u_58f29f47,302671,5
u_3fcd3ff6,302671,5
u_b37201ad,302671,4
u_723d2793,302686,5
u_e2a0217e,302686,5
u_47aaa4c5,302686,5
u_57e2800e,302686,5
u_c7118f4c,333749,4
u_bd17475d,304547,4
u_4cca4548,304547,5
u_510f966d,304547,3
u_0cf0c9a9,304547,4
u_e75032c3,304547,4
u_b73df709,324098,1
u_7a5e9cc9,324108,5
u_fbb5d2ad,327607,3
u_a895cecb,327607,5
